"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM","moneyness","logmoneyness","TimeToExp"
"72","SPY231207C00421000","REGULAR","USD",2023-12-07,421,33.85,0,0,35.06,35.79,NA,6,2023-11-30 11:21:10,0.644046528320313,TRUE,1.08323040380048,0.0799476912831377,0.0027378507871321
"73","SPY231207C00423000","REGULAR","USD",2023-12-07,423,31.22,0,0,33.09,33.84,NA,7,2023-11-30 13:47:18,0.62500375,TRUE,1.07810874704492,0.0752083459192411,0.0027378507871321
"74","SPY231207C00427000","REGULAR","USD",2023-12-07,427,31.16,1.7800007,6.0585456,29.07,29.84,43,41,2023-12-06 10:19:38,0.5585981640625,TRUE,1.0680093676815,0.0657965117368944,0.0027378507871321
"75","SPY231207C00428000","REGULAR","USD",2023-12-07,428,29.54,0.5400009,1.8620721,28.06,28.76,75,106,2023-12-06 11:06:19,0.530766411132813,TRUE,1.06551401869159,0.0634573293837222,0.0027378507871321
"76","SPY231207C00430000","REGULAR","USD",2023-12-07,430,27.3,0.11999893,0.44149718,26.12,26.72,32,58,2023-12-06 11:28:31,0.50195810546875,TRUE,1.06055813953488,0.058795316277911,0.0027378507871321
"77","SPY231207C00431000","REGULAR","USD",2023-12-07,431,27.03,3.75,16.108248,25.01,25.72,9,1,2023-11-30 13:48:05,0.553471262207031,TRUE,1.05809744779582,0.0564724348617714,0.0027378507871321
"78","SPY231207C00432000","REGULAR","USD",2023-12-07,432,24.54,0,0,24.14,24.73,1,3,2023-12-05 13:38:55,0.538090556640625,TRUE,1.05564814814815,0.0541549367214087,0.0027378507871321
"79","SPY231207C00433000","REGULAR","USD",2023-12-07,433,24.29,0.8200016,3.4938288,22.97,23.81,2,40,2023-12-06 11:08:48,0.535405036621094,TRUE,1.05321016166282,0.0518427969630292,0.0027378507871321
"80","SPY231207C00435000","REGULAR","USD",2023-12-07,435,21.43,-0.059999466,-0.27919716,20.96,21.79,28,3,2023-12-06 14:36:38,0.496342927246094,TRUE,1.04836781609195,0.047234493876835,0.0027378507871321
"81","SPY231207C00436000","REGULAR","USD",2023-12-07,436,20.77,0,0,20.07,20.65,3,7,2023-12-05 14:12:16,0.453618745117187,TRUE,1.04596330275229,0.0449382816164848,0.0027378507871321
"82","SPY231207C00437000","REGULAR","USD",2023-12-07,437,19.43,0.19000053,0.9875288,19.07,19.83,2,2,2023-12-06 14:32:22,0.467046345214844,TRUE,1.04356979405034,0.0426473298699289,0.0027378507871321
"83","SPY231207C00439000","REGULAR","USD",2023-12-07,439,18.39,2.6699991,16.984726,16.97,17.7,2,2,2023-12-06 11:10:31,0.409673872070312,TRUE,1.03881548974943,0.0380811118903478,0.0027378507871321
"84","SPY231207C00440000","REGULAR","USD",2023-12-07,440,16.48,-0.38000107,-2.2538614,16.25,16.77,3,38,2023-12-06 14:11:51,0.402838002929688,TRUE,1.03645454545455,0.0358057980532122,0.0027378507871321
"85","SPY231207C00442000","REGULAR","USD",2023-12-07,442,14.75,-0.06000042,-0.4051345,14.01,14.59,31,32,2023-12-06 13:58:11,0.33789724609375,TRUE,1.03176470588235,0.0312706428878209,0.0027378507871321
"86","SPY231207C00443000","REGULAR","USD",2023-12-07,443,13.34,0.44000053,3.4108567,13.24,13.52,38,22,2023-12-06 14:35:40,0.3086006640625,TRUE,1.02943566591422,0.0290107549203834,0.0027378507871321
"87","SPY231207C00444000","REGULAR","USD",2023-12-07,444,12.19,-0.52000046,-4.0912704,12.1,12.63,14,73,2023-12-06 14:28:44,0.308112387695312,TRUE,1.02711711711712,0.0267559625332943,0.0027378507871321
"88","SPY231207C00445000","REGULAR","USD",2023-12-07,445,11.59,-0.03999996,-0.34393775,11.26,11.72,21,40,2023-12-06 13:31:57,0.302253071289063,TRUE,1.02480898876405,0.0245062427992789,0.0027378507871321
"89","SPY231207C00446000","REGULAR","USD",2023-12-07,446,10.39,0.45000076,4.5271707,10.18,10.65,20,503,2023-12-06 14:18:39,0.273444765625,TRUE,1.02251121076233,0.0222615729454551,0.0027378507871321
"90","SPY231207C00447000","REGULAR","USD",2023-12-07,447,9.1,-0.6999998,-7.142855,9.24,9.69,23,119,2023-12-06 14:21:11,0.259528889160156,TRUE,1.02022371364653,0.0200219303519502,0.0027378507871321
"91","SPY231207C00448000","REGULAR","USD",2023-12-07,448,8.33,-0.27999973,-3.2520297,8.35,8.48,21,20,2023-12-06 11:24:26,0.212166081542969,TRUE,1.01794642857143,0.0177872925505339,0.0027378507871321
"92","SPY231207C00449000","REGULAR","USD",2023-12-07,449,7.48,-0.009999752,-0.13350804,7.43,7.55,131,115,2023-12-06 14:10:49,0.202644692382812,TRUE,1.01567928730512,0.0155576372232648,0.0027378507871321
"93","SPY231207C00450000","REGULAR","USD",2023-12-07,450,6.4,-0.4699998,-6.841336,6.46,6.56,866,382,2023-12-06 14:35:39,0.184090190429687,TRUE,1.01342222222222,0.0133329422011536,0.0027378507871321
"94","SPY231207C00451000","REGULAR","USD",2023-12-07,451,5.77,0.099999905,1.7636667,5.45,5.57,101,351,2023-12-06 13:42:14,0.165047412109375,TRUE,1.01117516629712,0.0111131854628407,0.0027378507871321
"95","SPY231207C00452000","REGULAR","USD",2023-12-07,452,4.55,-0.65999985,-12.667943,4.51,4.61,386,698,2023-12-06 14:32:50,0.147957739257813,TRUE,1.00893805309735,0.00889834513328779,0.0027378507871321
"96","SPY231207C00453000","REGULAR","USD",2023-12-07,453,3.63,-0.7199998,-16.55172,3.59,3.69,635,2034,2023-12-06 14:32:50,0.133309448242187,TRUE,1.00671081677704,0.00668839948248506,0.0027378507871321
"97","SPY231207C00454000","REGULAR","USD",2023-12-07,454,2.64,-0.75,-22.123894,2.71,2.79,2865,4396,2023-12-06 14:36:43,0.117440466308594,TRUE,1.00449339207048,0.00448332692417106,0.0027378507871321
